Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%▼,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
30,Damian Lillard,34,MIL,PG,44,44,1606,21.9,0.623,0.517,0.392,1.7,11.8,6.9,31.5,1.6,0.5,12.7,28.2,4.6,1.5,6.1,0.182,4.9,-0.9,3.9,2.4,
31,Taurean Prince,30,MIL,SF,53,46,1381,10,0.622,0.65,0.086,2.1,12.9,7.7,10.1,1.5,0.5,13.8,12.4,1.1,1.3,2.4,0.082,-1.9,-0.1,-1.9,0,
32,Ivica Zubac,27,LAC,C,52,52,1657,21.3,0.621,0,0.247,13.5,30.5,22.1,12.4,1.3,3.5,12.1,18.9,3.6,3.2,6.8,0.197,1.5,0.9,2.4,1.8,
33,Giannis Antetokounmpo,30,MIL,PF,41,41,1431,29.9,0.62,0.037,0.513,7.3,29.2,18.6,33.3,1,3.5,11.8,36.2,4,2.3,6.3,0.211,6.2,1.9,8.1,3.7,
34,Nikola Vučević,34,CHI,C,54,54,1733,20.5,0.619,0.314,0.151,7.8,25.4,16.7,16.9,1.3,1.8,9.6,22.3,3.7,1.7,5.4,0.15,2.4,-0.2,2.2,1.9,
35,De'Andre Hunter,27,2TM,SF,39,5,1114,15.7,0.619,0.509,0.356,2.5,12.3,7.3,7.7,1.4,0.4,9.2,23.9,1.7,0.7,2.4,0.105,0.8,-1.3,-0.5,0.4,
36,Georges Niang,31,2TM,PF,54,2,1137,11.6,0.619,0.643,0.089,3.6,15.5,9.7,8.5,0.9,0.7,11.2,16.7,1.3,1.1,2.4,0.101,-1,-0.5,-1.5,0.1,
37,Rui Hachimura,26,LAL,PF,45,45,1438,13.8,0.619,0.391,0.197,5.3,12.7,9.1,6.4,1.3,1.3,7.8,16.1,2.1,1.1,3.2,0.107,-0.2,-0.8,-1,0.4,
38,Chris Boucher,32,TOR,PF,46,0,796,18.7,0.616,0.526,0.233,8.2,19.7,13.9,5.4,1.4,2.9,6.9,21.6,1.5,0.7,2.2,0.134,2.9,-0.9,2.1,0.8,
39,Kristaps Porziņģis,29,BOS,C,29,29,841,22.5,0.615,0.435,0.339,6.1,20.2,13.1,10.9,1.3,5.1,6.7,25.4,2.3,1.5,3.8,0.216,3.7,1.3,5,1.5,
40,Pascal Siakam,30,IND,PF,53,53,1761,20.2,0.614,0.279,0.264,5.9,18.4,12.2,15.6,1.4,1.3,7,23.6,4.4,1.5,5.9,0.16,2.8,-0.5,2.3,1.9,
41,Trey Murphy III,24,NOP,SF,39,37,1390,18.7,0.614,0.524,0.297,2.5,13.6,7.8,16.2,1.6,1.9,8.8,23.7,3,0.4,3.4,0.116,3.1,-1.3,1.7,1.3,
42,Jalen Smith,24,CHI,C,50,1,765,19.2,0.609,0.558,0.229,9.8,27.5,18.8,8.8,0.7,4.1,7.9,20.8,1.5,0.8,2.4,0.147,1.8,-1,0.8,0.5,
43,Ochai Agbaji,24,TOR,SG,49,37,1364,12.1,0.609,0.476,0.105,3.4,11.4,7.4,8,1.5,2,8.1,14.1,1.5,0.8,2.3,0.08,-0.4,0,-0.5,0.5,
44,Jalen Brunson,28,NYK,PG,53,53,1865,22.3,0.609,0.316,0.386,1.4,7.7,4.6,32.3,1.3,0.2,10.2,29.4,6.4,0.9,7.3,0.188,5,-1.9,3.1,2.4,
45,Desmond Bane,26,MEM,SG,43,42,1311,17.9,0.608,0.417,0.187,3.2,16.6,10.1,24.5,1.8,1.2,14.6,22.8,2.4,1.7,4.2,0.153,2.6,0.7,3.3,1.8,
46,Naz Reid,25,MIN,C,55,8,1468,17.2,0.607,0.494,0.167,4.4,18.6,11.6,12.2,1.4,3,9.4,21.4,2.4,2.2,4.6,0.152,1.9,1.2,3.1,1.9,
47,Tyler Herro,25,MIA,SG,51,51,1814,19,0.606,0.546,0.234,1.1,15.6,8.5,26.8,1.1,0.3,12,27.8,2.9,1.7,4.6,0.121,3.7,-1,2.8,2.2,
48,LeBron James,40,LAL,SF,48,48,1658,23.1,0.606,0.312,0.249,3,21.8,12.7,44.1,1.2,1.3,16,30.4,3.5,1.7,5.2,0.15,5.2,0.4,5.6,3.2,
49,Max Christie,21,2TM,SG,52,27,1361,11.5,0.605,0.544,0.306,2.6,9.9,6.3,8.7,1.5,1.7,11.1,14.8,1.4,1,2.4,0.085,-1.2,-0.2,-1.5,0.2,
50,Aaron Wiggins,26,OKC,SG,54,19,1191,15.9,0.604,0.468,0.103,5.2,12.6,8.9,9.9,1.7,1.1,8.6,19,1.9,2,3.9,0.159,1.3,0.2,1.4,1,
51,Anthony Davis,31,2TM,PF,43,43,1471,27.4,0.602,0.124,0.421,9.8,29.2,19.8,17.3,1.8,5.8,9.3,30.3,3.9,2.6,6.5,0.211,4.8,1.4,6.2,3,
52,Derrick White,30,BOS,SG,52,52,1750,15.9,0.6,0.706,0.171,3,10.6,6.8,18.3,1.2,3,10.9,19.5,3.2,2.2,5.4,0.148,2.3,0.5,2.8,2.1,
53,Derrick Jones Jr.,27,LAC,SF,52,48,1306,13.5,0.6,0.344,0.172,6,10,8,5.1,2.3,1.5,9.6,16.5,1.4,1.9,3.3,0.12,-1.2,0.8,-0.4,0.5,
54,Jeremy Sochan,21,SAS,PF,33,19,860,16.3,0.6,0.164,0.276,10.1,18.9,14.5,14.2,1.7,1.8,15.1,18.8,1.1,0.9,2,0.111,-0.4,0.3,-0.1,0.4,
55,Collin Sexton,26,UTA,SG,46,44,1313,16.7,0.6,0.338,0.288,4.1,7,5.6,23.9,1.1,0.3,14.2,26.2,2.3,-0.1,2.2,0.08,1.9,-2.4,-0.6,0.5,
56,Bradley Beal,31,PHO,SG,37,23,1197,15.2,0.6,0.381,0.204,2.5,8.8,5.7,16.6,1.7,1.8,12,22.4,1.2,0.5,1.7,0.07,-0.1,-1,-1,0.3,
57,Jonas Valančiūnas,32,2TM,C,54,12,1060,20.3,0.599,0.06,0.264,12.9,29.7,21.2,18,1.1,2.7,15.9,23.3,1.5,0.9,2.4,0.108,0.6,-0.6,0,0.5,
58,Quentin Grimes,24,2TM,SG,51,13,1201,14.1,0.599,0.549,0.229,3.4,14.9,9.3,13.7,1.5,1,12.5,18.6,1.5,1,2.5,0.098,0.5,-0.4,0.2,0.7,
59,Dalton Knecht,23,LAL,SF,49,12,1011,12.5,0.599,0.617,0.164,2.8,13.4,8.2,6,0.8,0.3,5.9,17.8,1.2,0.6,1.8,0.084,-0.4,-1.8,-2.3,-0.1,
60,Santi Aldama,24,MEM,PF,46,11,1129,18.1,0.597,0.463,0.147,7.1,21.2,14.3,14.5,1.5,1.9,9,19.1,2.4,1.6,4,0.169,3.2,0.7,3.9,1.7,
61,Kyrie Irving,32,DAL,SG,44,44,1609,19.8,0.597,0.377,0.221,3.6,10.5,7.1,20.6,1.8,0.9,10,26.8,3.5,1.2,4.7,0.141,3.9,-0.6,3.3,2.2,
62,Stephen Curry,36,GSW,PG,46,46,1483,20,0.597,0.624,0.208,1.8,13.6,7.5,31.1,1.5,1.4,12.9,29.3,2.7,1.5,4.2,0.135,5.6,-0.5,5.2,2.7,
63,Amen Thompson,22,HOU,SF,52,25,1658,18,0.597,0.133,0.412,8.7,18.5,13.5,15.5,2.2,3.6,15.8,17.6,2.6,3,5.6,0.162,0.9,2.4,3.2,2.2,
64,Austin Reaves,26,LAL,SG,47,47,1634,17.4,0.596,0.511,0.344,2.9,11.4,7.2,26.2,1.7,0.5,13,23.3,3.1,1.2,4.3,0.127,1.9,-0.7,1.2,1.3,
65,Gary Trent Jr.,26,MIL,SG,48,7,1204,11.3,0.596,0.657,0.108,1,8.7,5,6.2,1.9,0.2,6.5,16.1,1,1.1,2,0.081,-1.6,-0.3,-1.9,0,
66,Myles Turner,28,IND,C,46,46,1407,14.8,0.596,0.454,0.271,4.8,19.1,12,6.9,1.3,5.4,13.3,20.6,0.6,1.6,2.2,0.075,-0.9,-0.1,-1,0.4,
67,Jaren Jackson Jr.,25,MEM,C,52,52,1548,20.8,0.596,0.315,0.346,5.2,15.9,10.7,11,2,5,10.7,28.9,2.7,2.5,5.2,0.16,2.1,0.9,3,2,
68,Malik Beasley,28,DET,SG,55,12,1517,15.3,0.596,0.714,0.12,2.3,9.1,5.7,9.4,1.7,0.1,7,22.8,2.2,1.3,3.4,0.109,2.4,-1.1,1.3,1.3,
69,Cam Thomas,23,BRK,SG,19,17,614,18.5,0.596,0.427,0.383,1.8,11.3,6.4,19.6,1.1,0.2,11.5,31.9,0.8,0.3,1.2,0.091,2.8,-2,0.8,0.4,
70,Nikola Jović,21,MIA,PF,44,10,1106,13.8,0.594,0.557,0.238,2.5,14.3,8.5,17.2,1.6,1,12.9,18.5,1.1,1.2,2.3,0.099,-0.4,0.3,-0.1,0.5,
71,Victor Wembanyama,21,SAS,C,46,46,1527,24.3,0.594,0.47,0.221,5.7,29.1,17.5,18.7,1.6,10.1,13.7,30.4,1.2,3,4.2,0.133,3.6,2.9,6.5,3.3,
72,Devin Booker,28,PHO,SG,48,48,1784,20.3,0.593,0.407,0.38,2.9,8.8,6,29.4,1.4,0.6,10.8,29.4,4.4,0.5,4.9,0.132,3.2,-2,1.2,1.4,
73,Brook Lopez,36,MIL,C,52,52,1651,13.4,0.593,0.523,0.146,4.1,11.6,8,7.4,1.1,5.7,8.9,15.4,1.6,1.9,3.5,0.102,-0.3,0.4,0.1,0.9,
74,Isaiah Joe,25,OKC,SG,49,11,1044,12.8,0.592,0.785,0.079,2.5,10.1,6.3,8.6,1.5,0.6,5.5,17,1.5,1.6,3.1,0.142,0.5,0.1,0.6,0.7,
75,Naji Marshall,27,DAL,SF,43,14,1069,14.7,0.592,0.329,0.188,4.4,12.2,8.4,14.7,1.9,0.5,12.6,18.7,1.3,0.9,2.2,0.1,-0.2,0,-0.2,0.5,
76,Ayo Dosunmu,25,CHI,SG,44,26,1343,13.1,0.59,0.421,0.178,2,9.6,5.9,20.9,1.4,1.2,12.2,16.5,1.7,0.6,2.4,0.085,-1.3,-0.6,-1.9,0,
77,OG Anunoby,27,NYK,PF,49,49,1778,14.3,0.59,0.45,0.191,4.2,10.6,7.4,7.5,1.9,2.2,8.6,18.1,2.3,1.6,3.9,0.104,0.1,-0.4,-0.2,0.8,
78,Jayson Tatum,26,BOS,PF,52,52,1892,22.1,0.589,0.505,0.322,1.8,24.1,12.9,25.2,1.6,1.3,10.7,30.7,4,3.1,7.1,0.181,4.7,0.9,5.6,3.6,
79,Tyrese Haliburton,24,IND,PG,52,52,1768,19.5,0.589,0.568,0.218,2,9.7,5.9,35,1.9,1.8,10.7,21.5,4.5,1.3,5.7,0.156,4.2,-0.5,3.7,2.6,
80,Caris LeVert,30,2TM,SG,41,3,987,14.8,0.588,0.497,0.29,3,10.9,7,19.3,1.6,2,12.5,18.2,1.6,1.1,2.7,0.13,0.8,0.5,1.3,0.8,
