PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
1,Giannis Antetokounmpo,MIL,30,28,15,13,35.0,31.6,12.5,20.7,60.2,0.1,0.7,20.0,6.5,10.8,60.5,2.0,9.6,11.6,6.1,3.5,0.8,1.5,2.4,58.0,24.0,4.0
2,Nikola Jokić,DEN,29,31,19,12,37.1,31.5,12.0,21.7,55.3,2.3,4.8,47.3,5.2,6.5,80.6,3.5,9.5,13.0,9.7,3.3,1.7,0.6,2.1,65.4,25.0,14.0
3,Shai Gilgeous-Alexander,OKC,26,35,30,5,34.6,31.3,11.0,21.1,52.4,2.2,6.0,36.0,7.1,7.9,88.8,0.9,4.7,5.6,6.1,2.6,2.0,1.1,2.1,53.9,3.0,0.0
4,LaMelo Ball,CHA,23,24,7,17,33.7,29.9,10.4,24.5,42.3,4.5,13.0,34.2,4.7,5.7,83.1,1.0,4.4,5.4,7.3,3.9,1.4,0.2,3.7,48.1,7.0,0.0
5,Paolo Banchero,ORL,22,5,3,2,36.4,29.0,9.6,19.4,49.5,2.2,6.4,34.4,7.6,11.8,64.4,2.4,6.4,8.8,5.6,2.2,0.6,0.8,2.6,50.0,2.0,0.0
6,Jayson Tatum,BOS,26,34,25,9,36.4,28.1,9.4,20.2,46.3,3.8,10.5,36.2,5.6,7.0,80.3,0.6,8.6,9.2,5.5,2.7,1.3,0.5,2.4,50.1,17.0,1.0
7,Luka Dončić,DAL,25,22,13,9,35.7,28.1,9.8,21.2,46.4,3.4,9.6,35.4,5.1,6.6,76.7,0.7,7.6,8.3,7.8,3.4,2.0,0.4,2.6,53.7,10.0,3.0
8,Kevin Durant,PHX,36,25,15,10,36.0,27.4,9.6,18.6,51.7,2.3,5.7,40.8,5.8,6.8,84.2,0.5,6.0,6.5,3.9,3.3,0.7,1.3,1.7,43.7,3.0,0.0
9,De'Aaron Fox,SAC,27,35,16,19,37.3,26.7,9.9,20.3,48.6,2.0,6.3,32.1,4.9,6.1,80.8,1.1,3.9,4.9,6.2,3.3,1.6,0.3,2.8,44.5,5.0,0.0
10,Anthony Davis,LAL,31,34,19,15,34.9,25.8,9.3,18.0,51.9,0.7,2.2,31.6,6.5,8.2,78.6,2.6,9.2,11.9,3.5,2.3,1.3,2.1,2.0,53.2,26.0,0.0
11,Anthony Edwards,MIN,23,36,19,17,36.4,25.8,9.1,20.4,44.6,4.3,10.0,42.9,3.4,4.1,81.8,0.7,5.1,5.8,4.0,3.1,1.2,0.6,2.0,40.9,1.0,0.0
12,Victor Wembanyama,SAS,21,31,16,15,33.1,25.6,9.3,19.3,48.0,3.3,9.4,35.4,3.8,4.3,87.3,1.8,9.0,10.8,3.8,3.6,1.0,4.0,2.2,55.7,15.0,1.0
13,Tyrese Maxey,PHI,24,28,13,15,37.2,25.4,8.7,20.7,42.1,3.3,9.4,34.5,4.7,5.6,83.5,0.2,3.1,3.3,5.6,2.5,2.1,0.4,2.3,43.0,5.0,1.0
14,Jalen Brunson,NYK,28,36,23,13,35.0,25.3,8.6,18.1,47.8,2.3,6.0,38.9,5.7,6.9,82.4,0.5,2.4,2.9,7.6,2.4,0.8,0.1,2.3,40.5,7.0,0.0
15,Karl-Anthony Towns,NYK,29,34,23,11,34.6,25.3,9.1,16.5,55.0,2.1,4.9,44.0,4.9,6.0,82.8,3.0,11.0,14.0,3.4,2.6,0.9,0.9,3.6,49.9,30.0,0.0
16,Damian Lillard,MIL,34,27,14,13,36.1,24.7,7.5,17.3,43.5,3.4,9.3,37.1,6.3,6.9,91.4,0.6,3.8,4.4,7.4,2.9,1.2,0.1,1.8,42.2,7.0,0.0
17,Cam Thomas,BKN,23,19,8,11,32.3,24.7,7.9,17.7,44.8,2.8,7.6,37.5,5.9,6.8,87.6,0.5,3.1,3.6,3.4,2.7,0.7,0.1,1.9,33.7,0.0,0.0
18,Devin Booker,PHX,28,30,15,15,36.5,24.6,7.8,18.3,42.9,2.5,7.5,33.6,6.4,7.1,89.3,1.1,2.8,3.9,6.8,2.3,1.1,0.3,2.2,41.2,5.0,0.0
19,Franz Wagner,ORL,23,25,16,9,33.2,24.4,8.8,18.9,46.5,2.0,6.4,32.1,4.8,5.4,88.1,0.9,4.7,5.6,5.7,2.4,1.7,0.5,2.3,43.8,2.0,0.0
20,Joel Embiid,PHI,30,13,7,6,29.4,24.4,7.6,16.8,45.2,1.2,3.8,32.7,7.9,8.6,92.0,1.7,6.2,7.9,3.8,3.2,0.8,1.0,2.2,42.0,4.0,0.0
21,Cade Cunningham,DET,23,32,17,15,35.8,24.4,9.1,20.2,45.1,2.5,6.6,37.7,3.6,4.5,80.6,0.9,5.7,6.7,9.5,4.3,0.9,0.8,2.8,47.3,16.0,6.0
22,Kyrie Irving,DAL,32,30,19,11,35.6,24.3,9.0,18.3,49.0,3.1,7.0,44.1,3.3,3.6,89.9,1.0,3.5,4.6,4.9,2.3,1.2,0.4,2.2,39.6,0.0,0.0
23,Jaylen Brown,BOS,28,30,22,8,35.6,23.9,8.8,19.2,46.0,2.2,6.8,32.5,4.1,5.5,74.4,1.4,4.6,6.0,4.7,2.8,1.3,0.3,2.4,40.1,3.0,0.0
24,LeBron James,LAL,40,33,18,15,34.9,23.8,9.2,18.1,50.7,2.2,5.7,38.6,3.3,4.3,76.9,0.9,6.8,7.7,8.8,3.7,0.8,0.5,1.4,46.6,17.0,8.0
25,Tyler Herro,MIA,24,35,18,17,35.3,23.6,8.2,17.4,46.9,3.8,9.5,40.1,3.4,3.9,86.2,0.3,5.3,5.6,5.0,2.4,0.7,0.1,1.5,37.9,5.0,0.0
26,Norman Powell,LAC,31,29,16,13,33.2,23.5,8.1,16.9,47.9,3.6,8.1,43.8,3.8,4.4,85.2,0.3,3.0,3.4,2.3,2.2,1.2,0.2,2.0,33.1,1.0,0.0
27,RJ Barrett,TOR,24,28,6,22,34.1,23.5,8.6,18.5,46.4,1.9,5.6,34.6,4.4,6.1,71.5,1.0,5.9,6.9,6.1,3.3,0.7,0.4,2.4,40.8,7.0,2.0
28,Donovan Mitchell,CLE,28,34,30,4,31.3,23.3,8.2,18.0,45.7,3.8,9.3,41.3,3.0,3.6,81.5,0.5,3.9,4.4,4.6,2.1,1.5,0.2,1.9,38.6,2.0,0.0
29,Zach LaVine,CHI,29,31,15,16,33.6,23.1,8.3,16.4,50.9,3.3,7.4,44.7,3.2,3.9,81.7,0.3,4.4,4.6,4.5,2.9,0.9,0.3,1.6,35.8,2.0,0.0
30,Stephen Curry,GSW,36,29,13,16,31.2,22.8,7.6,16.7,45.5,4.4,10.5,42.3,3.1,3.4,92.9,0.4,4.5,4.9,6.1,3.1,1.1,0.6,1.2,39.7,5.0,0.0
31,Jaren Jackson Jr.,MEM,25,35,23,12,29.0,22.7,8.1,16.5,49.4,1.8,5.2,34.8,4.6,5.9,78.5,1.5,4.9,6.4,2.0,2.3,1.5,1.6,3.3,40.5,3.0,0.0
32,Trae Young,ATL,26,35,18,17,35.8,22.6,6.8,16.9,40.1,2.9,8.6,34.0,6.1,6.9,87.2,0.5,3.0,3.5,12.2,4.3,1.3,0.2,2.0,45.1,25.0,0.0
32,Zion Williamson,NOP,24,7,2,5,30.6,22.6,8.0,17.0,47.1,0.3,1.1,25.0,6.3,9.9,63.8,2.9,4.9,7.7,5.1,3.7,1.0,1.1,3.0,42.3,3.0,0.0
34,Brandon Ingram,NOP,27,18,5,13,33.1,22.2,8.6,18.5,46.5,2.4,6.4,37.4,2.6,3.1,85.5,0.9,4.6,5.6,5.2,3.8,0.9,0.6,2.5,37.3,0.0,0.0
35,CJ McCollum,NOP,33,24,5,19,33.6,22.1,8.4,18.7,44.9,3.1,8.5,36.9,2.2,3.1,70.7,0.7,3.0,3.7,3.9,1.7,0.9,0.5,2.4,35.0,0.0,0.0
36,Jordan Poole,WAS,25,28,6,22,31.4,21.8,7.0,16.2,43.5,3.6,8.9,40.6,4.1,4.9,84.7,0.4,2.3,2.7,5.0,3.6,1.6,0.5,3.4,35.4,0.0,0.0
37,James Harden,LAC,35,34,20,14,33.9,21.6,6.2,15.9,39.1,2.8,8.2,34.2,6.4,7.2,88.2,0.6,5.4,6.1,8.0,4.7,1.5,0.6,2.1,42.5,13.0,1.0
38,Ja Morant,MEM,25,20,14,6,27.7,21.2,7.1,15.7,45.4,1.6,4.8,32.3,5.5,6.5,83.8,0.7,3.8,4.4,7.9,3.8,1.1,0.4,1.6,39.0,7.0,1.0
39,Brandon Miller,CHA,22,25,7,18,34.3,21.2,7.4,18.3,40.3,3.9,11.0,35.6,2.5,2.8,88.7,0.9,4.0,4.9,3.6,2.8,1.0,0.8,2.7,35.0,2.0,0.0
40,DeMar DeRozan,SAC,35,32,16,16,35.4,20.8,7.8,16.0,48.6,0.7,2.3,30.7,4.6,5.3,85.9,0.6,3.2,3.8,3.8,1.6,1.3,0.4,2.1,34.6,0.0,0.0
41,Trey Murphy III,NOP,24,23,4,19,34.1,20.7,7.0,15.8,44.5,3.1,8.6,36.4,3.4,3.8,90.8,1.0,3.7,4.7,2.7,1.6,1.1,0.7,2.3,34.1,0.0,0.0
42,Domantas Sabonis,SAC,28,34,17,17,35.9,20.6,8.1,13.7,59.2,1.1,2.4,44.4,3.3,4.2,77.8,3.8,10.0,13.8,6.3,2.9,0.7,0.5,3.6,47.4,32.0,5.0
43,Jalen Williams,OKC,23,35,30,5,32.5,20.6,8.1,17.0,47.8,1.8,5.0,35.2,2.6,3.3,77.6,0.9,4.9,5.8,5.1,2.3,1.8,0.7,2.6,40.4,3.0,0.0
44,Darius Garland,CLE,24,34,30,4,30.0,20.5,7.4,14.9,49.5,2.9,6.8,43.1,2.9,3.1,91.5,0.5,2.1,2.6,6.6,2.3,1.1,0.2,2.1,35.4,4.0,0.0
45,Nikola Vučević,CHI,34,35,16,19,32.3,20.5,8.3,15.0,55.3,2.1,4.9,42.4,1.8,2.1,83.8,2.3,7.9,10.2,3.3,1.6,0.8,0.6,2.4,40.3,23.0,0.0
46,Scottie Barnes,TOR,23,23,6,17,34.2,20.4,7.8,16.6,47.1,1.6,5.5,28.3,3.2,4.3,73.0,1.7,6.4,8.0,6.5,3.7,1.4,0.7,2.2,42.3,9.0,1.0
47,Jalen Green,HOU,22,36,24,12,32.7,20.3,7.1,17.1,41.5,2.7,8.1,33.1,3.4,3.9,86.6,0.6,4.0,4.6,2.5,2.3,1.0,0.3,1.8,31.0,1.0,0.0
48,Lauri Markkanen,UTA,27,29,6,23,31.8,19.9,6.2,14.3,43.5,3.0,8.0,36.9,4.4,5.0,88.9,1.7,4.4,6.2,1.9,1.4,0.9,0.3,1.7,32.1,3.0,0.0
